competitor_domain,page_url,page_title,estimated_traffic,top_keyword,top_keyword_volume,keyword,position,search_volume,days_since_seen
shaw.com,https://shaw.com/commercial-flooring,Commercial Flooring Solutions,9800,commercial flooring,8200,,,,12
shaw.com,https://shaw.com/blog/spc-vs-laminate,SPC vs Laminate,5400,spc vs laminate,3100,,,,30
shaw.com,https://shaw.com/wholesale-flooring,Wholesale SPC Flooring,3200,wholesale spc,1900,,,,8
mohawkflooring.com,https://mohawkflooring.com/lvt-vs-spc,LVT vs SPC Flooring,7100,lvt vs spc,2700,,,,18
mohawkflooring.com,https://mohawkflooring.com/blog/wear-layer,12 mil vs 20 mil Wear Layer,2300,wear layer,1500,,,,40
mohawkflooring.com,https://mohawkflooring.com/floorscore,FloorScore Certified Flooring,1800,floorscore,800,,,,55
karndean.com,https://karndean.com/hotel-flooring,Hotel Flooring,4500,hotel flooring,3200,,,,11
karndean.com,https://karndean.com/private-label,Private Label Flooring,2100,private label flooring,900,,,,25
karndean.com,,,,,,distributor flooring,3,1700,5
karndean.com,,,,,,moq spc,7,400,12
